ex_dividend_date	record_date	payment_date	ticker_symbol	dividend_per_share
2023-10-30	2023-10-31		448730	70.0
2023-10-30	2023-10-31		453440	0.0
2023-10-04	2023-10-05	2023-10-25	009970	1600.0
2023-09-27	2023-10-04	2023-10-18	078520	1270.0
2023-09-27	2023-09-30	2023-11-08	105560	510.0
2023-09-27	2023-09-30	2023-11-14	017670	830.0
2023-09-27	2023-09-30	2023-10-24	002100	200.0
2023-09-27	2023-09-30	2023-10-25	023450	500.0
2023-09-27	2023-09-30	2023-10-25	086900	1100.0
2023-09-27	2023-09-30	2023-10-25	08690K	0.0
2023-09-27	2023-09-30	2023-10-25	08690L	2314.9783
2023-09-27	2023-09-30	2023-10-23	002840	500.0
2023-09-27	2023-09-30	2023-10-18	225530	150.0
2023-09-27	2023-09-30	2023-11-20	005930	361.0
2023-09-27	2023-09-30	2023-11-20	005935	361.0
2023-09-27	2023-09-30	2023-11-13	225190	50.0
2023-09-27	2023-09-30	2023-11-03	055550	525.0
2023-09-27	2023-09-30	2023-10-27	003410	70.0
2023-09-27	2023-09-30		097950	0.0
2023-09-27	2023-09-30		097955	0.0
2023-09-27	2023-09-30		096530	0.0
2023-09-27	2023-09-30	2023-10-31	002310	500.0
2023-09-27	2023-09-30		122900	0.0
2023-09-27	2023-09-30		395400	91.0
2023-09-27	2023-09-30	2023-11-14	000660	300.0
2023-09-27	2023-09-30	2023-11-10	267250	900.0
2023-09-27	2023-09-30	2023-11-10	316140	180.0
2023-09-27	2023-09-30		381970	0.0
2023-09-27	2023-09-30		003070	0.0
2023-09-27	2023-09-30		003075	0.0
2023-09-27	2023-09-30		005490	0.0
2023-09-27	2023-09-30	2023-10-31	161580	188.0
2023-09-27	2023-09-30	2023-11-10	086790	600.0
2023-09-27	2023-09-30	2023-10-27	004590	35.0
2023-09-27	2023-09-30	2023-10-20	168490	576.0
2023-09-27	2023-09-30		009240	0.0
2023-09-27	2023-09-30	2023-10-20	213500	200.0
2023-09-27	2023-09-30	2023-10-20	21350K	200.0
2023-09-27	2023-09-30		018880	0.0
2023-09-27	2023-09-30	2023-11-14	005380	1500.0
2023-09-27	2023-09-30	2023-11-14	005385	1500.0
2023-09-27	2023-09-30	2023-11-14	005387	1500.0
2023-09-27	2023-09-30	2023-11-14	005389	1500.0
2023-09-27	2023-09-30	2023-10-18	060560	10.0
2023-09-27	2023-09-30	2023-11-16	094280	150.0
2023-09-27	2023-09-30	2023-11-16	094285	150.0
2023-09-27	2023-09-30		081660	0.0
2023-09-14	2023-09-15	2023-10-13	035150	100.0
2023-08-30	2023-08-31		417310	66.0
2023-08-10	2023-08-11	2023-08-25	138930	100.0
2023-08-09	2023-08-10	2023-08-31	034730	1500.0
2023-08-09	2023-08-10	2023-08-31	03473K	1500.0
2023-07-28	2023-07-31	2023-10-20	360000	0.0
2023-07-28	2023-07-31	2023-10-20	36000K	0.0
2023-07-28	2023-07-31		443100	0.0
2023-07-28	2023-07-31	2023-10-30	44310K	0.0
2023-07-28	2023-07-31	2023-10-30	44310L	0.0
2023-07-28	2023-07-31	2023-10-30	44310M	0.0
2023-07-28	2023-07-31	2023-11-07	448730	70.35801
2023-07-28	2023-07-31	2023-10-27	432320	188.0
2023-07-27	2023-07-28	2023-08-11	168490	240.0
2023-07-24	2023-07-25	2023-08-10	002030	600.0
2023-07-19	2023-07-20	2023-08-04	002900	50.0
2023-07-18	2023-07-19	2023-08-01	203810	0.0
2023-07-07	2023-07-10	2023-08-09	004050	327.0
2023-06-29	2023-06-30	2023-08-10	017940	700.0
2023-06-29	2023-06-30	2023-08-08	175330	120.0
2023-06-29	2023-06-30	2023-08-08	105560	510.0
2023-06-29	2023-06-30	2023-08-08	025000	500.0
2023-06-29	2023-06-30	2023-08-10	092230	750.0
2023-06-29	2023-06-30	2023-08-25	032640	250.0
2023-06-29	2023-06-30	2023-08-25	010950	200.0
2023-06-29	2023-06-30	2023-08-25	010955	200.0
2023-06-29	2023-06-30	2023-08-18	018670	2000.0
2023-06-29	2023-06-30	2023-08-25	285130	400.0
2023-06-29	2023-06-30	2023-08-25	28513K	400.0
2023-06-29	2023-06-30	2023-08-11	017670	830.0
2023-06-29	2023-06-30	2023-08-11	049720	180.0
2023-06-29	2023-06-30	2023-08-24	010130	10000.0
2023-06-29	2023-06-30	2023-09-19	374760	0.0
2023-06-29	2023-06-30	2023-08-09	083420	80.0
2023-06-29	2023-06-30	2023-08-29	013700	5.0
2023-06-29	2023-06-30	2023-08-22	035420	415.0
2023-06-29	2023-06-30		178600	0.0
2023-06-29	2023-06-30		17860K	35.0
2023-06-29	2023-06-30		17860L	30.0
2023-06-29	2023-06-30		430970	0.0
2023-06-29	2023-06-30		43097K	0.0
2023-06-29	2023-06-30	2023-10-06	43097L	0.0
2023-06-29	2023-06-30		43097M	0.0
2023-06-29	2023-06-30	2023-10-06	43097N	0.0
2023-06-29	2023-06-30	2023-08-24	067080	50.0
2023-06-29	2023-06-30	2023-08-10	000640	1000.0
2023-06-29	2023-06-30	2023-08-14	241560	800.0
2023-06-29	2023-06-30		418870	0.0
2023-06-29	2023-06-30	2023-08-30	41887K	0.0
2023-06-29	2023-06-30	2023-08-30	41887L	0.0
2023-06-29	2023-06-30	2023-08-30	41887M	0.0
2023-06-29	2023-06-30	2023-07-28	007340	500.0
2023-06-29	2023-06-30	2023-08-11	038390	200.0
2023-06-29	2023-06-30	2023-09-22	330590	109.182846
2023-06-29	2023-06-30	2023-10-06	169330	120.0
2023-06-29	2023-06-30	2023-08-28	088980	385.0
2023-06-29	2023-06-30	2023-08-30	012690	100.0
2023-06-29	2023-06-30	2023-10-18	015250	100.0
2023-06-29	2023-06-30	2023-07-24	002840	500.0
2023-06-29	2023-06-30	2023-07-27	268280	700.0
2023-06-29	2023-06-30	2023-07-26	134380	1500.0
2023-06-29	2023-06-30	2023-07-26	337930	40.0
2023-06-29	2023-06-30	2023-08-16	005930	361.0
2023-06-29	2023-06-30	2023-08-16	005935	361.0
2023-06-29	2023-06-30	2023-09-01	003230	1000.0
2023-06-29	2023-06-30	2023-08-07	225190	100.0
2023-06-29	2023-06-30	2023-08-11	004450	500.0
2023-06-29	2023-06-30	2023-08-08	065710	500.0
2023-06-29	2023-06-30	2023-08-31	148150	200.0
2023-06-29	2023-06-30	2023-08-31	14815K	442.56
2023-06-29	2023-06-30	2023-10-26	021820	100.0
2023-06-29	2023-06-30	2023-10-26	066710	50.0
2023-06-29	2023-06-30	2023-10-17	005390	50.0
2023-06-29	2023-06-30	2023-08-04	055550	525.0
2023-06-29	2023-06-30	2023-09-27	404990	150.0
2023-06-29	2023-06-30	2023-07-26	004080	130.0
2023-06-29	2023-06-30	2023-08-14	003410	70.0
2023-06-29	2023-06-30	2023-08-07	352700	50.0
2023-06-29	2023-06-30	2023-08-25	097950	1000.0
2023-06-29	2023-06-30	2023-08-25	097955	1000.0
2023-06-29	2023-06-30	2023-08-29	096530	200.0
2023-06-29	2023-06-30	2023-10-13	050860	50.0
2023-06-29	2023-06-30	2023-08-24	122900	150.0
2023-06-29	2023-06-30	2023-10-20	030960	50.0
2023-06-29	2023-06-30	2023-08-18	003570	150.0
2023-06-29	2023-06-30	2023-08-18	064960	600.0
2023-06-29	2023-06-30	2023-08-18	100840	400.0
2023-06-29	2023-06-30	2023-08-21	036530	300.0
2023-06-29	2023-06-30	2023-08-29	056190	180.0
2023-06-29	2023-06-30	2023-08-18	006120	500.0
2023-06-29	2023-06-30	2023-08-18	006125	500.0
2023-06-29	2023-06-30	2023-08-08	210980	400.0
2023-06-29	2023-06-30	2023-08-08	21098L	400.0
2023-06-29	2023-06-30	2023-09-14	395400	66.0
2023-06-29	2023-06-30	2023-08-14	000660	300.0
2023-06-29	2023-06-30	2023-07-25	037890	800.0
2023-06-29	2023-06-30	2023-08-03	221960	0.0
2023-06-29	2023-06-30	2023-08-11	267250	900.0
2023-06-29	2023-06-30	2023-10-10	386150	0.0
2023-06-29	2023-06-30	2023-10-10	38615K	0.0
2023-06-29	2023-06-30	2023-10-10	38615L	0.0
2023-06-29	2023-06-30	2023-08-18	230360	130.0
2023-06-29	2023-06-30	2023-09-27	400760	138.0
2023-06-29	2023-06-30	2023-08-09	316140	180.0
2023-06-29	2023-06-30		434780	0.0
2023-06-29	2023-06-30	2023-10-11	43478K	0.0
2023-06-29	2023-06-30	2023-07-21	105840	50.0
2023-06-29	2023-06-30	2023-08-18	214320	450.0
2023-06-29	2023-06-30	2023-09-27	088260	200.0
2023-06-29	2023-06-30	2023-09-22	350520	133.0
2023-06-29	2023-06-30	2023-08-25	049070	50.0
2023-06-29	2023-06-30	2023-10-13	348950	190.0
2023-06-29	2023-06-30	2023-07-14	194370	350.0
2023-06-29	2023-06-30	2023-08-25	053050	20.0
2023-06-29	2023-06-30	2023-08-08	003780	50.0
2023-06-29	2023-06-30	2023-08-08	010640	50.0
2023-06-29	2023-06-30	2023-08-09	100250	50.0
2023-06-29	2023-06-30	2023-07-17	078340	1300.0
2023-06-29	2023-06-30	2023-07-21	214370	1200.0
2023-06-29	2023-06-30	2023-08-09	002380	1000.0
2023-06-29	2023-06-30	2023-07-31	344820	800.0
2023-06-29	2023-06-30		435230	0.0
2023-06-29	2023-06-30	2023-09-25	43523K	0.0
2023-06-29	2023-06-30	2023-09-25	43523L	0.0
2023-06-29	2023-06-30	2023-08-22	381970	190.0
2023-06-29	2023-06-30	2023-08-23	033780	1200.0
2023-06-29	2023-06-30		369550	0.0
2023-06-29	2023-06-30	2023-10-06	36955K	0.0
2023-06-29	2023-06-30	2023-10-06	36955L	0.0
2023-06-29	2023-06-30	2023-08-30	094930	0.0
2023-06-29	2023-06-30	2023-07-21	033290	60.0
2023-06-29	2023-06-30	2023-08-21	096240	1000.0
2023-06-29	2023-06-30	2023-09-27	435770	0.0
2023-06-29	2023-06-30	2023-09-27	43577K	0.0
2023-06-29	2023-06-30	2023-09-27	43577L	0.0
2023-06-29	2023-06-30	2023-08-28	005490	2500.0
2023-06-29	2023-06-30	2023-10-17	189690	100.0
2023-06-29	2023-06-30	2023-08-10	086790	600.0
2023-06-29	2023-06-30		396580	0.0
2023-06-29	2023-06-30	2023-09-27	39658K	0.0
2023-06-29	2023-06-30	2023-09-27	39658L	0.0
2023-06-29	2023-06-30		397340	0.0
2023-06-29	2023-06-30	2023-09-27	39734K	0.0
2023-06-29	2023-06-30		360780	0.0
2023-06-29	2023-06-30	2023-09-26	36078K	0.0
2023-06-29	2023-06-30	2023-09-26	36078L	0.0
2023-06-29	2023-06-30		359960	0.0
2023-06-29	2023-06-30	2023-09-26	35996K	0.0
2023-06-29	2023-06-30	2023-08-23	034950	1381.0
2023-06-29	2023-06-30	2023-08-08	025540	250.0
2023-06-29	2023-06-30	2023-08-25	009240	1500.0
2023-06-29	2023-06-30	2023-08-24	018880	90.0
2023-06-29	2023-06-30	2023-08-14	012330	1000.0
2023-06-29	2023-06-30	2023-08-14	012335	1000.0
2023-06-29	2023-06-30	2023-08-14	005380	1500.0
2023-06-29	2023-06-30	2023-08-14	005385	1500.0
2023-06-29	2023-06-30	2023-08-14	005387	1500.0
2023-06-29	2023-06-30	2023-08-14	005389	1500.0
2023-06-29	2023-06-30	2023-08-17	094280	150.0
2023-06-29	2023-06-30	2023-08-17	094285	150.0
2023-06-29	2023-06-30	2023-08-25	200670	250.0
2023-06-29	2023-06-30	2023-08-25	243070	300.0
2023-06-29	2023-06-30	2023-08-25	084110	250.0
2023-06-20	2023-06-21	2023-07-21	155900	0.0
2023-05-30	2023-05-31	2023-09-06	357250	154.0
2023-05-30	2023-05-31	2023-08-29	338100	131.0
2023-05-30	2023-05-31		142690	0.0
2023-05-30	2023-05-31	2023-09-08	365550	135.0
2023-05-30	2023-05-31	2023-08-29	417310	81.0
2023-05-30	2023-05-31	2023-08-31	357120	200.0
2023-05-26	2023-05-29	2023-06-21	155900	0.0
2023-05-16	2023-05-17	2023-06-05	220630	0.0
2023-05-16	2023-05-17	2023-06-08	358720	0.0
2023-04-28	2023-04-30	2023-08-07	448730	58.43732
2023-04-28	2023-04-30		414720	0.0
2023-04-28	2023-04-30	2023-07-31	41472K	0.0
2023-04-28	2023-04-30	2023-07-31	41472L	0.0
2023-04-28	2023-04-30		342040	0.0
2023-04-28	2023-04-30	2023-07-28	34204K	0.0
2023-04-28	2023-04-30	2023-07-28	34204L	0.0
2023-04-28	2023-04-30	2023-08-11	451800	131.0
2023-04-26	2023-04-27	2023-05-22	155900	0.0
2023-04-24	2023-04-25	2023-05-10	056070	1000.0
2023-04-19	2023-04-20	2023-05-04	337730	25000.0
2023-04-17	2023-04-18	2023-04-28	203810	0.0
2023-03-30	2023-03-31	2023-05-11	105560	510.0
2023-03-30	2023-03-31	2023-07-03	950110	153.1122
2023-03-30	2023-03-31	2023-05-10	017670	830.0
2023-03-30	2023-03-31	2023-05-30	008870	400.0
2023-03-30	2023-03-31	2023-07-07	092440	150.0
2023-03-30	2023-03-31	2023-07-14	020180	20.0
2023-03-30	2023-03-31	2023-07-27	018500	20.0
2023-03-30	2023-03-31	2023-06-23	377190	150.0
2023-03-30	2023-03-31	2023-06-29	044130	33.0
2023-03-30	2023-03-31	2023-06-29	04413K	75.0
2023-03-30	2023-03-31	2023-06-22	357430	152.0
2023-03-30	2023-03-31	2023-07-07	396690	154.1
2023-03-30	2023-03-31	2023-05-17	005930	361.0
2023-03-30	2023-03-31	2023-05-17	005935	361.0
2023-03-30	2023-03-31	2023-05-12	225190	100.0
2023-03-30	2023-03-31	2023-07-07	001720	4000.0
2023-03-30	2023-03-31	2023-07-07	001725	4050.0
2023-03-30	2023-03-31	2023-05-12	055550	525.0
2023-03-30	2023-03-31	2023-06-30	362010	0.0
2023-03-30	2023-03-31	2023-06-30	36201K	0.0
2023-03-30	2023-03-31	2023-06-30	36201L	0.0
2023-03-30	2023-03-31	2023-06-23	327000	0.0
2023-03-30	2023-03-31	2023-06-23	32700L	0.0
2023-03-30	2023-03-31	2023-06-23	32700K	0.0
2023-03-30	2023-03-31	2023-06-29	293940	190.0
2023-03-30	2023-03-31	2023-06-29	29394K	411.0
2023-03-30	2023-03-31	2023-06-29	335050	0.0
2023-03-30	2023-03-31	2023-06-29	33505K	0.0
2023-03-30	2023-03-31	2023-06-29	33505L	0.0
2023-03-30	2023-03-31	2023-05-09	003410	70.0
2023-03-30	2023-03-31	2023-05-26	097950	1000.0
2023-03-30	2023-03-31	2023-05-26	097955	1000.0
2023-03-30	2023-03-31	2023-05-30	096530	200.0
2023-03-30	2023-03-31	2023-05-25	122900	150.0
2023-03-30	2023-03-31	2023-07-20	289080	20.0
2023-03-30	2023-03-31	2023-07-19	083030	6900.0
2023-03-30	2023-03-31	2023-07-06	395400	66.0
2023-03-30	2023-03-31	2023-05-08	000660	300.0
2023-03-30	2023-03-31	2023-05-25	230360	70.0
2023-03-30	2023-03-31	2023-04-19	015360	6000.0
2023-03-30	2023-03-31	2023-06-30	067010	120.0
2023-03-30	2023-03-31	2023-05-23	381970	190.0
2023-03-30	2023-03-31	2023-07-25	190650	200.0
2023-03-30	2023-03-31	2023-04-28	084870	50.0
2023-03-30	2023-03-31	2023-05-16	425040	400.0
2023-03-30	2023-03-31	2023-06-01	005490	2500.0
2023-03-30	2023-03-31	2023-05-12	086790	600.0
2023-03-30	2023-03-31	2023-04-14	168490	10.0
2023-03-30	2023-03-31		009240	0.0
2023-03-30	2023-03-31	2023-05-25	018880	90.0
2023-03-30	2023-03-31	2023-05-18	094280	150.0
2023-03-30	2023-03-31	2023-05-18	094285	150.0
2023-03-27	2023-03-28	2023-04-18	153380	600.0
2023-03-24	2023-03-27	2023-04-21	155900	0.0
2023-03-24	2023-03-27	2023-04-10	354760	0.0
2023-03-24	2023-03-27	2023-04-10	35476K	0.0
2023-03-24	2023-03-27	2023-04-10	35476L	0.0
2023-03-24	2023-03-27	2023-04-10	35476M	0.0
2023-03-24	2023-03-27	2023-04-10	35476N	0.0
2023-03-24	2023-03-27	2023-04-10	35476P	0.0
2023-03-24	2023-03-27	2023-04-10	35476Q	0.0
2023-03-24	2023-03-27	2023-04-10	35476R	0.0
2023-02-27	2023-02-28	2023-05-10	321790	0.0
2023-02-27	2023-02-28	2023-05-10	32179K	0.0
2023-02-27	2023-02-28	2023-05-10	32179L	0.0
2023-02-27	2023-02-28	2023-05-31	334890	212.90488
2023-02-27	2023-02-28	2023-05-30	405410	0.0
2023-02-27	2023-02-28	2023-05-30	40541K	0.0
2023-02-27	2023-02-28	2023-05-30	417310	83.0
2023-02-24	2023-02-27	2023-03-21	155900	0.0
2023-01-31	2023-02-01	2023-02-27	419360	0.0
2023-01-30	2023-01-31	2023-04-21	360000	0.0
2023-01-30	2023-01-31	2023-04-21	36000K	0.0
2023-01-30	2023-01-31	2023-04-28	443100	0.0
2023-01-30	2023-01-31	2023-04-28	44310K	0.0
2023-01-30	2023-01-31	2023-04-28	44310L	0.0
2023-01-30	2023-01-31	2023-04-28	44310M	0.0
2023-01-30	2023-01-31	2023-04-28	432320	165.0
2023-01-26	2023-01-27	2023-02-21	155900	0.0
2023-01-13	2023-01-16	2023-02-01	203810	0.0
2022-12-30	2023-01-01	2023-04-07	003540	1200.0
2022-12-30	2023-01-01	2023-04-07	003545	1250.0
2022-12-30	2023-01-01	2023-04-07	003547	1200.0
2022-12-30	2022-12-31	2023-04-24	318010	100.0
2022-12-30	2022-12-31	2023-03-30	138930	625.0
2022-12-30	2022-12-31	2023-04-21	001460	3000.0
2022-12-30	2022-12-31	2023-04-21	001465	3050.0
2022-12-30	2022-12-31	2023-04-28	000990	1300.0
2022-12-30	2022-12-31	2023-04-28	000995	1350.0
2022-12-30	2022-12-31		000997	0.0
2022-12-30	2022-12-31	2023-04-13	139130	650.0
2022-12-30	2022-12-31	2023-04-14	004840	40.0
2022-12-30	2022-12-31	2023-04-10	017940	3600.0
2022-12-30	2022-12-31	2023-04-21	089470	120.0
2022-12-30	2022-12-31	2023-04-10	175330	715.0
2022-12-30	2022-12-31	2023-04-21	143500	0.0
2022-12-30	2022-12-31	2023-04-10	105560	1450.0
2022-12-30	2022-12-31	2023-04-27	024120	150.0
2022-12-30	2022-12-31	2023-04-21	060720	300.0
2022-12-30	2022-12-31	2023-04-14	001940	600.0
2022-12-30	2022-12-31	2023-04-14	071430	0.0
2022-12-30	2022-12-31	2023-04-04	025000	2250.0
2022-12-30	2022-12-31	2023-04-06	092230	2400.0
2022-12-30	2022-12-31	2023-04-13	093050	700.0
2022-12-30	2022-12-31	2023-04-12	003550	3000.0
2022-12-30	2022-12-31	2023-04-12	003555	3050.0
2022-12-30	2022-12-31	2023-04-05	051900	4000.0
2022-12-30	2022-12-31	2023-04-05	051905	4050.0
2022-12-30	2022-12-31	2023-04-14	032640	400.0
2022-12-30	2022-12-31	2023-04-21	011070	4150.0
2022-12-30	2022-12-31	2023-04-26	066570	700.0
2022-12-30	2022-12-31	2023-04-26	066575	750.0
2022-12-30	2022-12-31	2023-04-26	051910	10000.0
2022-12-30	2022-12-31	2023-04-26	051915	10050.0
2022-12-30	2022-12-31	2023-04-07	006260	1550.0
2022-12-30	2022-12-31	2023-04-21	108320	4500.0
2022-12-30	2022-12-31	2023-04-19	001120	3000.0
2022-12-30	2022-12-31	2023-04-21	108670	200.0
2022-12-30	2022-12-31	2023-04-21	108675	250.0
2022-12-30	2022-12-31	2023-04-21	023150	250.0
2022-12-30	2022-12-31	2023-04-13	005940	700.0
2022-12-30	2022-12-31	2023-04-13	005945	750.0
2022-12-30	2022-12-31	2023-04-24	034310	410.0
2022-12-30	2022-12-31	2023-04-07	010060	2500.0
2022-12-30	2022-12-31	2023-04-28	010950	3000.0
2022-12-30	2022-12-31	2023-04-28	010955	3025.0
2022-12-30	2022-12-31	2023-04-20	002360	10.0
2022-12-30	2022-12-31	2023-04-20	002365	15.0
2022-12-30	2022-12-31	2023-04-28	034730	3500.0
2022-12-30	2022-12-31	2023-04-28	03473K	3550.0
2022-12-30	2022-12-31	2023-04-20	011790	1100.0
2022-12-30	2022-12-31	2023-04-21	018670	5500.0
2022-12-30	2022-12-31	2023-04-21	001740	120.0
2022-12-30	2022-12-31	2023-04-21	001745	145.0
2022-12-30	2022-12-31	2023-04-28	003340	600.0
2022-12-30	2022-12-31	2023-04-28	00334N	31533.0
2022-12-30	2022-12-31	2023-04-28	00334P	600.0
2022-12-30	2022-12-31	2023-04-28	00334K	0.0
2022-12-30	2022-12-31	2023-04-28	00334L	0.0
2022-12-30	2022-12-31	2023-04-28	001510	5.0
2022-12-30	2022-12-31	2023-04-28	001515	10.0
2022-12-30	2022-12-31	2023-04-27	285130	1100.0
2022-12-30	2022-12-31	2023-04-27	28513K	1150.0
2022-12-30	2022-12-31	2023-04-27	017670	830.0
2022-12-30	2022-12-31	2023-04-28	048770	25.0
2022-12-30	2022-12-31	2023-04-14	122870	250.0
2022-12-30	2022-12-31	2023-04-19	051390	150.0
2022-12-30	2022-12-31	2023-04-06	079940	70.0
2022-12-30	2022-12-31	2023-04-07	000500	50.0
2022-12-30	2022-12-31	2023-04-27	000860	500.0
2022-12-30	2022-12-31	2023-04-26	035250	350.0
2022-12-30	2022-12-31	2023-04-24	094480	45.0
2022-12-30	2022-12-31	2023-04-19	061710	0.0
2022-12-30	2022-12-31	2023-04-03	039240	130.0
2022-12-30	2022-12-31	2023-04-11	002100	400.0
2022-12-30	2022-12-31	2023-04-06	009450	500.0
2022-12-30	2022-12-31	2023-04-21	267290	875.0
2022-12-30	2022-12-31	2023-04-26	012320	750.0
2022-12-30	2022-12-31	2023-04-18	011040	400.0
2022-12-30	2022-12-31	2023-04-14	000050	125.0
2022-12-30	2022-12-31	2023-04-14	214390	50.0
2022-12-30	2022-12-31	2023-04-11	012610	50.0
2022-12-30	2022-12-31	2023-04-04	009140	350.0
2022-12-30	2022-12-31	2023-04-21	013580	500.0
2022-12-30	2022-12-31	2023-04-18	012200	25.0
2022-12-30	2022-12-31	2023-04-18	012205	30.0
2022-12-30	2022-12-31	2023-04-21	081630	0.0
2022-12-30	2022-12-31	2023-04-07	002140	25.0
2022-12-30	2022-12-31	2023-03-17	049720	170.0
2022-12-30	2022-12-31	2023-03-30	010130	20000.0
2022-12-30	2022-12-31	2023-04-17	002240	300.0
2022-12-30	2022-12-31	2023-04-05	014570	180.0
2022-12-30	2022-12-31	2023-04-14	950190	92.47
2022-12-30	2022-12-31	2023-04-12	389970	0.0
2022-12-30	2022-12-31	2023-04-12	38997K	0.0
2022-12-30	2022-12-31	2023-04-12	38997L	0.0
2022-12-30	2022-12-31	2023-04-14	098460	140.0
2022-12-30	2022-12-31	2023-04-12	123900	90.0
2022-12-30	2022-12-31	2023-04-13	215000	4500.0
2022-12-30	2022-12-31	2023-04-14	121440	163.0
2022-12-30	2022-12-31	2023-04-17	366030	180.0
2022-12-30	2022-12-31	2023-04-07	076340	100.0
2022-12-30	2022-12-31	2023-04-20	009290	100.0
2022-12-30	2022-12-31	2023-04-12	017040	10.0
2022-12-30	2022-12-31	2023-04-18	017900	50.0
2022-12-30	2022-12-31	2023-04-20	037710	2200.0
2022-12-30	2022-12-31	2023-03-16	073980	500.0
2022-12-30	2022-12-31	2023-03-22	374760	0.0
2022-12-30	2022-12-31	2023-04-07	030610	200.0
2022-12-30	2022-12-31	2023-04-25	339770	200.0
2022-12-30	2022-12-31	2023-04-11	053270	30.0
2022-12-30	2022-12-31	2023-03-28	007690	1400.0
2022-12-30	2022-12-31	2023-04-21	066620	400.0
2022-12-30	2022-12-31	2023-04-05	043650	210.0
2022-12-30	2022-12-31	2023-04-07	060480	50.0
2022-12-30	2022-12-31	2023-04-25	063190	0.0
2022-12-30	2022-12-31	2023-04-18	035080	200.0
2022-12-30	2022-12-31	2023-04-07	204020	30.0
2022-12-30	2022-12-31	2023-04-11	083420	150.0
2022-12-30	2022-12-31	2023-04-18	186230	0.0
2022-12-30	2022-12-31	2023-04-18	18623N	5.0
2022-12-30	2022-12-31	2023-04-25	014530	200.0
2022-12-30	2022-12-31	2023-04-26	006250	0.0
2022-12-30	2022-12-31	2023-04-27	083450	300.0
2022-12-30	2022-12-31	2023-04-07	014280	120.0
2022-12-30	2022-12-31	2023-04-07	014285	130.0
2022-12-30	2022-12-31	2023-04-11	053260	120.0
2022-12-30	2022-12-31		282720	350.0
2022-12-30	2022-12-31	2023-04-06	002990	500.0
2022-12-30	2022-12-31	2023-04-06	002995	550.0
2022-12-30	2022-12-31	2023-04-21	011780	5400.0
2022-12-30	2022-12-31	2023-04-21	011785	5450.0
2022-12-30	2022-12-31	2023-04-14	036190	1300.0
2022-12-30	2022-12-31	2023-04-17	420770	750.0
2022-12-30	2022-12-31	2023-04-17	000270	3500.0
2022-12-30	2022-12-31	2023-04-03	409630	0.0
2022-12-30	2022-12-31	2023-04-03	40963K	0.0
2022-12-30	2022-12-31	2023-04-03	40963L	0.0
2022-12-30	2022-12-31	2023-04-28	013700	15.0
2022-12-30	2022-12-31	2023-04-14	121600	250.0
2022-12-30	2022-12-31	2023-04-14	12160M	2186.05
2022-12-30	2022-12-31	2023-04-14	12160N	5.0
2022-12-30	2022-12-31	2023-03-31	040970	0.0
2022-12-30	2022-12-31	2023-04-21	358400	0.0
2022-12-30	2022-12-31	2023-04-14	051490	70.0
2022-12-30	2022-12-31	2023-04-27	137080	100.0
2022-12-30	2022-12-31	2023-04-10	293580	180.0
2022-12-30	2022-12-31	2023-04-14	130580	182.0
2022-12-30	2022-12-31	2023-04-18	036800	650.0
2022-12-30	2022-12-31	2023-04-17	030190	370.0
2022-12-30	2022-12-31	2023-03-31	043960	0.0
2022-12-30	2022-12-31	2023-04-21	004270	25.0
2022-12-30	2022-12-31	2023-04-28	003920	1000.0
2022-12-30	2022-12-31	2023-04-28	003925	1050.0
2022-12-30	2022-12-31	2023-04-21	025860	100.0
2022-12-30	2022-12-31	2023-04-20	111710	300.0
2022-12-30	2022-12-31	2023-04-21	091590	200.0
2022-12-30	2022-12-31	2023-03-09	079180	0.0
2022-12-30	2022-12-31	2023-04-13	253590	35.0
2022-12-30	2022-12-31	2023-04-21	212560	100.0
2022-12-30	2022-12-31	2023-04-04	085910	250.0
2022-12-30	2022-12-31	2023-04-07	092730	700.0
